12÷2=？  	12÷2=？  <br>谜底：<font color="#FFFFFF">商陆  </font>\n
断脐。（打两个数学名词）  	断脐。（打两个数学名词）  <br>谜底：<font color="#FFFFFF">分子、分母  </font>\n
断桥前方渐入林，此番西湖面貌新（时人）	断桥前方渐入林，此番西湖面貌新（时人）<br>谜底：<font color="#FFFFFF">乔森潘</font>\n
断纱接头。（打一数学名词）  	断纱接头。（打一数学名词）  <br>谜底：<font color="#FFFFFF">延长线  </font>\n
断纱头（字）	断纱头（字）<br>谜底：<font color="#FFFFFF">少</font>\n
对对子。  	对对子。  <br>谜底：<font color="#FFFFFF">四儿</font>\n
对酒当歌（二字音乐名词）	对酒当歌（二字音乐名词）<br>谜底：<font color="#FFFFFF">乐曲</font>\n
对人须要用真心 （字 ）	对人须要用真心 （字 ）<br>谜底：<font color="#FFFFFF">俸</font>\n
对月西峰 （字 ）	对月西峰 （字 ）<br>谜底：<font color="#FFFFFF">崩</font>\n
多多协作（字）	多多协作（字）<br>谜底：<font color="#FFFFFF">罗</font>\n
多劳多得, 不劳不得 （字） 	多劳多得, 不劳不得 （字） <br>谜底：<font color="#FFFFFF">罗</font>\n
多一点就不准（字）	多一点就不准（字）<br>谜底：<font color="#FFFFFF">淮</font>\n
恶少（三字俗语）	恶少（三字俗语）<br>谜底：<font color="#FFFFFF">差不多</font>\n
恩恩爱爱纤绳荡悠悠（军事术语二）	恩恩爱爱纤绳荡悠悠（军事术语二）<br>谜底：<font color="#FFFFFF">情报　有线牵</font>\n
而立之年如中天 （字 ）	而立之年如中天 （字 ）<br>谜底：<font color="#FFFFFF">草</font>\n
儿女皆行（字）	儿女皆行（字）<br>谜底：<font color="#FFFFFF">好</font>\n
儿女双全（字）	儿女双全（字）<br>谜底：<font color="#FFFFFF">好</font>\n
儿童故事会（文学体裁）	儿童故事会（文学体裁）<br>谜底：<font color="#FFFFFF">历史小说</font>\n
儿童评书（文学体裁）	儿童评书（文学体裁）<br>谜底：<font color="#FFFFFF">小品文</font>\n
耳朵大，脚儿小， 身体肥胖爱睡觉， 浑身上下都有用， 粮食增产不可少。 	耳朵大，脚儿小， 身体肥胖爱睡觉， 浑身上下都有用， 粮食增产不可少。 <br>谜底：<font color="#FFFFFF">猪</font>\n
二。 （打一体育用品） 	二。 （打一体育用品） <br>谜底：<font color="#FFFFFF">高低杠 </font>\n
二度梅。（打中国小说名一）  	二度梅。（打中国小说名一）  <br>谜底：<font color="#FFFFFF">重放的鲜花</font>\n
二对恋人。 （打一国产故事片名）  	二对恋人。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">她俩和他俩  </font>\n
二角（文学名词）	二角（文学名词）<br>谜底：<font color="#FFFFFF">对伏</font>\n
二木不成林（字）	二木不成林（字）<br>谜底：<font color="#FFFFFF">相</font>\n
二犬讲团结（字）	二犬讲团结（字）<br>谜底：<font color="#FFFFFF">狱</font>\n
二人动前情 （字 ）	二人动前情 （字 ）<br>谜底：<font color="#FFFFFF">伴</font>\n
二人举着小旗帜 （字 ）	二人举着小旗帜 （字 ）<br>谜底：<font color="#FFFFFF">除</font>\n
二人十一点复习（字）	二人十一点复习（字）<br>谜底：<font color="#FFFFFF">翠</font>\n
二人手拉手,钢丝绳上走（字）	二人手拉手,钢丝绳上走（字）<br>谜底：<font color="#FFFFFF">丛</font>\n
二三代杂交玉米。 （打国产故事片名一）  	二三代杂交玉米。 （打国产故事片名一）  <br>谜底：<font color="#FFFFFF">儿子孙子和种子  </font>\n
二山在一道,猜出便错了（字）	二山在一道,猜出便错了（字）<br>谜底：<font color="#FFFFFF">击 </font>\n
二十路电车开进北站口，叮叮铛铛（字）	二十路电车开进北站口，叮叮铛铛（字）<br>谜底：<font color="#FFFFFF">燕</font>\n
二十四桥明月夜 （字） 	二十四桥明月夜 （字） <br>谜底：<font color="#FFFFFF">梦</font>\n
二十四小时。 （成语）	二十四小时。 （成语）<br>谜底：<font color="#FFFFFF">一朝一夕 </font>\n
二十四小时（字）	二十四小时（字）<br>谜底：<font color="#FFFFFF">旦</font>\n
二十一。  	二十一。  <br>谜底：<font color="#FFFFFF">三七  </font>\n
二小姐	二小姐<br>谜底：<font color="#FFFFFF">姿</font>\n
二一添作五 （字） 	二一添作五 （字） <br>谜底：<font color="#FFFFFF">力</font>\n
二月山城未见花。 （打一国产故事片名）  	二月山城未见花。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">迟到的春天  </font>\n
发表（成语）	发表（成语）<br>谜底：<font color="#FFFFFF">生财有道</font>\n
发思古之幽情（安徽地名）	发思古之幽情（安徽地名）<br>谜底：<font color="#FFFFFF">怀远</font>\n
法官进羊圈	法官进羊圈<br>谜底：<font color="#FFFFFF">是沈阳! </font>\n
翻来覆去破片儿，没看头 （字 ）	翻来覆去破片儿，没看头 （字 ）<br>谜底：<font color="#FFFFFF">鼎</font>\n
凡心了却性尤高（字）	凡心了却性尤高（字）<br>谜底：<font color="#FFFFFF">亢</font>\n
反扒（三字俗语）	反扒（三字俗语）<br>谜底：<font color="#FFFFFF">摸不准</font>\n
反对走私（二字近代史名词）	反对走私（二字近代史名词）<br>谜底：<font color="#FFFFFF">公诉</font>\n
反复核算，并无错误。 （打一数学名词）  	反复核算，并无错误。 （打一数学名词）  <br>谜底：<font color="#FFFFFF">对数  </font>\n
反刍(打一成语)	反刍(打一成语)<br>谜底：<font color="#FFFFFF">吞吞吐吐</font>\n
返航之路。（打一地埋名词）  	返航之路。（打一地埋名词）  <br>谜底：<font color="#FFFFFF">回归线  </font>\n
犯法必究。（打一外国文学作品名）  	犯法必究。（打一外国文学作品名）  <br>谜底：<font color="#FFFFFF">罪与罚</font>\n
饭没做熟（字）	饭没做熟（字）<br>谜底：<font color="#FFFFFF">炊</font>\n
泛舟昆明。 （打一京剧名）  	泛舟昆明。 （打一京剧名）  <br>谜底：<font color="#FFFFFF">游湖  </font>\n
芳心无主空对月 （字 ）	芳心无主空对月 （字 ）<br>谜底：<font color="#FFFFFF">册</font>\n
方法论（中药名）	方法论（中药名）<br>谜底：<font color="#FFFFFF">白术</font>\n
方方一木房，四周没有窗， 开门看一看，全部是衣裳。 	方方一木房，四周没有窗， 开门看一看，全部是衣裳。 <br>谜底：<font color="#FFFFFF">衣柜 </font>\n
方圆黑白。 （成语）	方圆黑白。 （成语）<br>谜底：<font color="#FFFFFF">形形色色 </font>\n
房间只有豆粒大， 万千兄弟住得下， 电子器件新一代， 生来追求小型化。（打一物理名词）  	房间只有豆粒大， 万千兄弟住得下， 电子器件新一代， 生来追求小型化。（打一物理名词）  <br>谜底：<font color="#FFFFFF">集成电路  </font>\n
防病（成语）	防病（成语）<br>谜底：<font color="#FFFFFF">有惫无患</font>\n
放荡男儿。  	放荡男儿。  <br>谜底：<font color="#FFFFFF">浪子</font>\n
放留声机（五字俗语）	放留声机（五字俗语）<br>谜底：<font color="#FFFFFF">打开话匣子</font>\n
放卫星。 （打一体育名词） 	放卫星。 （打一体育名词） <br>谜底：<font color="#FFFFFF">高抛发球 </font>\n
放下心，病就好（字）	放下心，病就好（字）<br>谜底：<font color="#FFFFFF">愉</font>\n
放羊倌。（打一星座） 	放羊倌。（打一星座） <br>谜底：<font color="#FFFFFF">牧夫星座</font>\n
非木制手枪（字）	非木制手枪（字）<br>谜底：<font color="#FFFFFF">抢</font>\n
非洲来客。 （打一国产故事片名）  	非洲来客。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">黑面人</font>\n
 非洲女人的胸脯（打一国） 	 非洲女人的胸脯（打一国） <br>谜底：<font color="#FFFFFF">是波黑</font>\n
飞车走壁 （字）	飞车走壁 （字）<br>谜底：<font color="#FFFFFF">连</font>\n
飞蛾扑火（字）	飞蛾扑火（字）<br>谜底：<font color="#FFFFFF">烛 </font>\n
飞鸿力尽瀚海停。 （打一广东音乐）  	飞鸿力尽瀚海停。 （打一广东音乐）  <br>谜底：<font color="#FFFFFF">平沙落雁  </font>\n
飞流直下三千尺。（打河北一地名）  	飞流直下三千尺。（打河北一地名）  <br>谜底：<font color="#FFFFFF">陡河  </font>\n
飞去的帽子被白拿去受用（成语）	飞去的帽子被白拿去受用（成语）<br>谜底：<font color="#FFFFFF">张冠李戴</font>\n
飞入寻常百姓家。 （打一国产故事片名）  	飞入寻常百姓家。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">燕归来</font>\n
飞砂走石（字）	飞砂走石（字）<br>谜底：<font color="#FFFFFF">少 </font>\n
飞行报告。 （成语）	飞行报告。 （成语）<br>谜底：<font color="#FFFFFF">一纸空文 </font>\n
肥水不流外人田（称谓）	肥水不流外人田（称谓）<br>谜底：<font color="#FFFFFF">资本家</font>\n
肥仔触电	肥仔触电<br>谜底：<font color="#FFFFFF">肉麻</font>\n
废除旧话（古代书名）	废除旧话（古代书名）<br>谜底：<font color="#FFFFFF">世说新语</font>\n
分别在日出（中药名）	分别在日出（中药名）<br>谜底：<font color="#FFFFFF">光明散</font>\n
 分不出高低	 分不出高低<br>谜底：<font color="#FFFFFF">四平! </font>\n
分开经营（二字近代史名词）	分开经营（二字近代史名词）<br>谜底：<font color="#FFFFFF">散商</font>\n
分开一刀莫猜八 (字) 	分开一刀莫猜八 (字) <br>谜底：<font color="#FFFFFF">切</font>\n
分析正方形，得画辅助线（称谓）	分析正方形，得画辅助线（称谓）<br>谜底：<font color="#FFFFFF">木匠</font>\n
粉饰（文学名词）	粉饰（文学名词）<br>谜底：<font color="#FFFFFF">白猫</font>\n
粉碎"四人帮"。 （打电视名剧一）  	粉碎"四人帮"。 （打电视名剧一）  <br>谜底：<font color="#FFFFFF">乱世擒魔  </font>\n
粉碎"四人帮"的日子。 （打一杂志名）  	粉碎"四人帮"的日子。 （打一杂志名）  <br>谜底：<font color="#FFFFFF">十月</font>\n
丰富的资源。（打一亚洲国家地名） 	丰富的资源。（打一亚洲国家地名） <br>谜底：<font color="#FFFFFF">茂物 </font>\n
枫水。 （打一歌剧名）  	枫水。 （打一歌剧名）  <br>谜底：<font color="#FFFFFF">赤叶河  </font>\n
蜂蝶纷纷过墙去。 （打一国产故事片名）  	蜂蝶纷纷过墙去。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">花为媒  </font>\n
风打着门来门自开（三字礼貌用语）	风打着门来门自开（三字礼貌用语）<br>谜底：<font color="#FFFFFF">没关系</font>\n
风和日丽（打中国小说名一）  	风和日丽（打中国小说名一）  <br>谜底：<font color="#FFFFFF">艳阳天</font>\n
风卷尘沙袭开罗（四字新词）	风卷尘沙袭开罗（四字新词）<br>谜底：<font color="#FFFFFF">扫黄打非</font>\n
风里来，雨里去，一篙相伴（字） 	风里来，雨里去，一篙相伴（字） <br>谜底：<font color="#FFFFFF">希</font>\n
风平浪静	风平浪静<br>谜底：<font color="#FFFFFF">是宁波! </font>\n
风平浪细。（打一物理名词）  	风平浪细。（打一物理名词）  <br>谜底：<font color="#FFFFFF">微波  </font>\n
风起雨丝斜 （字 ）	风起雨丝斜 （字 ）<br>谜底：<font color="#FFFFFF">彪</font>\n
风神（成语）	风神（成语）<br>谜底：<font color="#FFFFFF">气度不凡</font>\n
风雨空中雁阵斜 （字）	风雨空中雁阵斜 （字）<br>谜底：<font color="#FFFFFF">佩</font>\n
烽火戏诸侯（新疆地名）	烽火戏诸侯（新疆地名）<br>谜底：<font color="#FFFFFF">博乐</font>\n
逢场作戏。 （打外国故事片名一）  	逢场作戏。 （打外国故事片名一）  <br>谜底：<font color="#FFFFFF">舞台生涯 </font>\n
缝钮子（成语）	缝钮子（成语）<br>谜底：<font color="#FFFFFF">丝丝入扣</font>\n
凤冠（字）	凤冠（字）<br>谜底：<font color="#FFFFFF">几 </font>\n
凤凰涅盘。 （打一国产故事片名）  	凤凰涅盘。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">烈火中永生  </font>\n
凤凰台上凤凰游。（打一省名） 	凤凰台上凤凰游。（打一省名） <br>谜底：<font color="#FFFFFF">云南</font>\n
凤凰台上凤凰游。（打一省名）  	凤凰台上凤凰游。（打一省名）  <br>谜底：<font color="#FFFFFF">云南  </font>\n
佛经溢浓香。 （打外国音乐家名一）  	佛经溢浓香。 （打外国音乐家名一）  <br>谜底：<font color="#FFFFFF">贝多芬</font>\n
夫妻同是改革家（水浒诨号）	夫妻同是改革家（水浒诨号）<br>谜底：<font color="#FFFFFF">双鞭</font>\n
夫人何处去（字）	夫人何处去（字）<br>谜底：<font color="#FFFFFF">二</font>\n
拂晓见面留五指痕（四字公交用语）	拂晓见面留五指痕（四字公交用语）<br>谜底：<font color="#FFFFFF">夜间打的</font>\n
服务员星期日休息（四字礼貌用语）	服务员星期日休息（四字礼貌用语）<br>谜底：<font color="#FFFFFF">招待不周</font>\n
浮家。（打江西一地名）  	浮家。（打江西一地名）  <br>谜底：<font color="#FFFFFF">萍乡  </font>\n
浮家。（打江西一地名）	浮家。（打江西一地名）<br>谜底：<font color="#FFFFFF">萍乡</font>\n
浮小麦（四字影片名）	浮小麦（四字影片名）<br>谜底：<font color="#FFFFFF">水上庄稼</font>\n
浮游水面。（打一外国文学作品名）  	浮游水面。（打一外国文学作品名）  <br>谜底：<font color="#FFFFFF">飘</font>\n
浮云碧空上（字）	浮云碧空上（字）<br>谜底：<font color="#FFFFFF">码</font>\n
覆巢之下无完卵 （字） 	覆巢之下无完卵 （字） <br>谜底：<font color="#FFFFFF">茆</font>\n
赋诗未完泪已流俗（称谓）	赋诗未完泪已流俗（称谓）<br>谜底：<font color="#FFFFFF">风水先生</font>\n
复旦（六字影片名）	复旦（六字影片名）<br>谜底：<font color="#FFFFFF">又是一个早晨</font>\n
复婚（三字影片名）	复婚（三字影片名）<br>谜底：<font color="#FFFFFF">再生缘</font>\n
复习（字）	复习（字）<br>谜底：<font color="#FFFFFF">羽</font>\n
付。（打一物理名词）  	付。（打一物理名词）  <br>谜底：<font color="#FFFFFF">半导体  </font>\n
父亲和我儿孙在一起。 （打中国小说名一）  	父亲和我儿孙在一起。 （打中国小说名一）  <br>谜底：<font color="#FFFFFF">四世同堂</font>\n
父子潜泳（四字俗语）	父子潜泳（四字俗语）<br>谜底：<font color="#FFFFFF">没老没少</font>\n
腹中空空棒， 有火不吭气， 若是一拉绳， 开花不费劲。 （打一武器） 	腹中空空棒， 有火不吭气， 若是一拉绳， 开花不费劲。 （打一武器） <br>谜底：<font color="#FFFFFF">爆破筒</font>\n
富裕打开华夏门（五字国际名词）	富裕打开华夏门（五字国际名词）<br>谜底：<font color="#FFFFFF">发展中国家</font>\n
妇女节前夕。  	妇女节前夕。  <br>谜底：<font color="#FFFFFF">三七  </font>\n
改过（词牌）	改过（词牌）<br>谜底：<font color="#FFFFFF">更漏子</font>\n
改嫁前（字）	改嫁前（字）<br>谜底：<font color="#FFFFFF">妃</font>\n
改头换面（摄影词语）	改头换面（摄影词语）<br>谜底：<font color="#FFFFFF">调色</font>\n
改造河流。（打江西一地名）  	改造河流。（打江西一地名）  <br>谜底：<font color="#FFFFFF">修水  </font>\n
盖图章必用之物。（粉底格，打一亚洲国名） 	盖图章必用之物。（粉底格，打一亚洲国名） <br>谜底：<font color="#FFFFFF">印尼 </font>\n
干部个个挑重担（五字俗语）	干部个个挑重担（五字俗语）<br>谜底：<font color="#FFFFFF">无官一身轻</font>\n
干涉 （字 ）	干涉 （字 ）<br>谜底：<font color="#FFFFFF">步</font>\n
干在前头（字）	干在前头（字）<br>谜底：<font color="#FFFFFF">平</font>\n
干在前头利在后（字）	干在前头利在后（字）<br>谜底：<font color="#FFFFFF">刊</font>\n
甘地夫人（二字影片名）	甘地夫人（二字影片名）<br>谜底：<font color="#FFFFFF">甜女</font>\n
赶羊群，吊银线， 彩色桥梁空中悬。（打三种自然现象） 	赶羊群，吊银线， 彩色桥梁空中悬。（打三种自然现象） <br>谜底：<font color="#FFFFFF">云、雨、虹</font>\n
刚开放的口岸（打一杂志名）  	刚开放的口岸（打一杂志名）  <br>谜底：<font color="#FFFFFF">新港  </font>\n
钢琴伴奏。  	钢琴伴奏。  <br>谜底：<font color="#FFFFFF">乐和</font>\n
钢铁胸膛长嘴巴， 扛在肩上不说话， 手指一动就发言， 作战放哨不离它。 （打一武器） 	钢铁胸膛长嘴巴， 扛在肩上不说话， 手指一动就发言， 作战放哨不离它。 （打一武器） <br>谜底：<font color="#FFFFFF">步枪</font>\n
纲举目张（三字电脑名词）	纲举目张（三字电脑名词）<br>谜底：<font color="#FFFFFF">互联网</font>\n
高处不胜寒。（打一地质名词）  	高处不胜寒。（打一地质名词）  <br>谜底：<font color="#FFFFFF">地下热  </font>\n
高高个儿一身青， 圆脸金黄喜盈盈， 天天向着太阳笑， 结的果实数不清。 	高高个儿一身青， 圆脸金黄喜盈盈， 天天向着太阳笑， 结的果实数不清。 <br>谜底：<font color="#FFFFFF">向日葵</font>\n
高高个儿英雄汉， 日日夜夜路边站， 风吹雨打不动摇， 手上牵着万里线。 （打一工业设施）  	高高个儿英雄汉， 日日夜夜路边站， 风吹雨打不动摇， 手上牵着万里线。 （打一工业设施）  <br>谜底：<font color="#FFFFFF">电线杆  </font>\n
高高遨游在太空， 监视雷电与台风， 观测云层和雨雾， 资料全给地面用。（打一气象仪器）  	高高遨游在太空， 监视雷电与台风， 观测云层和雨雾， 资料全给地面用。（打一气象仪器）  <br>谜底：<font color="#FFFFFF">气象卫星  </font>\n
高考落榜后，从事无线电（ 字） 	高考落榜后，从事无线电（ 字） <br>谜底：<font color="#FFFFFF">楮</font>\n
高炉治练。（打一物理名词）  	高炉治练。（打一物理名词）  <br>谜底：<font color="#FFFFFF">热处理  </font>\n
高山同胞喜开镰（北京地名）	高山同胞喜开镰（北京地名）<br>谜底：<font color="#FFFFFF">丰台</font>\n
高射炮兵（成语）	高射炮兵（成语）<br>谜底：<font color="#FFFFFF">见机行事</font>\n
高耸一钢架， 钢管中间插， 工业输血液， 出口贡献大。 （打一工业用具）  	高耸一钢架， 钢管中间插， 工业输血液， 出口贡献大。 （打一工业用具）  <br>谜底：<font color="#FFFFFF">石油钻机  </font>\n
搞错帐目。（打一数学名词）  	搞错帐目。（打一数学名词）  <br>谜底：<font color="#FFFFFF">误差  </font>\n
搞好内部团结（足球运动员）	搞好内部团结（足球运动员）<br>谜底：<font color="#FFFFFF">纳吉</font>\n
告别（字）	告别（字）<br>谜底：<font color="#FFFFFF">扮</font>\n
 哥哥老是站着。  	 哥哥老是站着。  <br>谜底：<font color="#FFFFFF">竞! </font>\n
哥哥怕弟弟(打一成语)	哥哥怕弟弟(打一成语)<br>谜底：<font color="#FFFFFF">後生可畏</font>\n
哥俩上天平。（打一物理名词）  	哥俩上天平。（打一物理名词）  <br>谜底：<font color="#FFFFFF">比重  </font>\n
哥俩一般高，每天三出操， 人人都需要，团结互助好。 	哥俩一般高，每天三出操， 人人都需要，团结互助好。 <br>谜底：<font color="#FFFFFF">筷子 </font>\n
歌如潮。  	歌如潮。  <br>谜底：<font color="#FFFFFF">曲波</font>\n
歌声最棒传世界（体育项目）	歌声最棒传世界（体育项目）<br>谜底：<font color="#FFFFFF">曲棍球</font>\n
歌无词。（打一物理名词）  	歌无词。（打一物理名词）  <br>谜底：<font color="#FFFFFF">光谱  </font>\n
戈壁传声。 （打一国产故事片名）  	戈壁传声。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">沙漠驼铃  </font>\n
戈壁滩上一棵草（字）	戈壁滩上一棵草（字）<br>谜底：<font color="#FFFFFF">莎</font>\n
戈壁之城	戈壁之城<br>谜底：<font color="#FFFFFF">沙市! </font>\n
革新家（成语）	革新家（成语）<br>谜底：<font color="#FFFFFF">改换门庭</font>\n
格外大方（字）	格外大方（字）<br>谜底：<font color="#FFFFFF">回</font>\n
 格子隔，柜子隔， 里面躲着四姐妹 	 格子隔，柜子隔， 里面躲着四姐妹 <br>谜底：<font color="#FFFFFF">是核桃! </font>\n
隔门闻犬吠 （字） 	隔门闻犬吠 （字） <br>谜底：<font color="#FFFFFF">润</font>\n
个儿高，眼光好， 夜夜对着天空瞧， 不看星星不瞅月， 专找空中狗强盗。 （打一武器） 	个儿高，眼光好， 夜夜对着天空瞧， 不看星星不瞅月， 专找空中狗强盗。 （打一武器） <br>谜底：<font color="#FFFFFF">探照灯</font>\n
个个参加运动会（字）	个个参加运动会（字）<br>谜底：<font color="#FFFFFF">云</font>\n
个个都举双手赞成。 （打一国产故事片名）  	个个都举双手赞成。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">丫丫  </font>\n
个个上前猜什么（体育项目）	个个上前猜什么（体育项目）<br>谜底：<font color="#FFFFFF">射箭</font>\n
个体户（字）	个体户（字）<br>谜底：<font color="#FFFFFF">豪</font>\n
个体商贩（三字军事名词）	个体商贩（三字军事名词）<br>谜底：<font color="#FFFFFF">独立营</font>\n
各。（打北京一地名）  	各。（打北京一地名）  <br>谜底：<font color="#FFFFFF">东侧路  </font>\n
各。（打北京一地名）	各。（打北京一地名）<br>谜底：<font color="#FFFFFF">东侧路</font>\n
给一半,留一半（字）	给一半,留一半（字）<br>谜底：<font color="#FFFFFF">细</font>\n
更加窘困。（粉底格，打一亚洲国名） 	更加窘困。（粉底格，打一亚洲国名） <br>谜底：<font color="#FFFFFF">越南 </font>\n
工农兵学。（打一穴位名）  	工农兵学。（打一穴位名）  <br>谜底：<font color="#FFFFFF">少商  </font>\n
工作繁忙不念经（三字人口普查名词）	工作繁忙不念经（三字人口普查名词）<br>谜底：<font color="#FFFFFF">空挂户</font>\n
工作重心分田产 (字 )	工作重心分田产 (字 )<br>谜底：<font color="#FFFFFF">噩</font>\n
攻城很顺利	攻城很顺利<br>谜底：<font color="#FFFFFF">捷克! </font>\n
功高盖世飞将军（党史人名）	功高盖世飞将军（党史人名）<br>谜底：<font color="#FFFFFF">李硕勋</font>\n
供不应求。  	供不应求。  <br>谜底：<font color="#FFFFFF">索超</font>\n
公道。（打北京一地名）	公道。（打北京一地名）<br>谜底：<font color="#FFFFFF">正义路</font>\n
公道。（打北京一地名）  	公道。（打北京一地名）  <br>谜底：<font color="#FFFFFF">正义路  </font>\n
公而忘私（字）	公而忘私（字）<br>谜底：<font color="#FFFFFF">八</font>\n
公分母（四字影片名）	公分母（四字影片名）<br>谜底：<font color="#FFFFFF">男女有别</font>\n
公用毛巾。 （成语）	公用毛巾。 （成语）<br>谜底：<font color="#FFFFFF">面面俱到 </font>\n
公字当头（字）	公字当头（字）<br>谜底：<font color="#FFFFFF">八</font>\n
宫中尽仿细腰（党史人名）	宫中尽仿细腰（党史人名）<br>谜底：<font color="#FFFFFF">肖楚女</font>\n
拱手迎来客（字）	拱手迎来客（字）<br>谜底：<font color="#FFFFFF">摈</font>\n
拱猪入门（ 字 ）	拱猪入门（ 字 ）<br>谜底：<font color="#FFFFFF">阂</font>\n
共产主义社会。 （打外国故事片名一）  	共产主义社会。 （打外国故事片名一）  <br>谜底：<font color="#FFFFFF">未来世界  </font>\n
共同加油（字）	共同加油（字）<br>谜底：<font color="#FFFFFF">潢</font>\n
勾心斗角，曲折心肠（字）	勾心斗角，曲折心肠（字）<br>谜底：<font color="#FFFFFF">泓</font>\n
苟不教（三字影片名）	苟不教（三字影片名）<br>谜底：<font color="#FFFFFF">苦学生</font>\n
孤峰。（打贵州一地名）  	孤峰。（打贵州一地名）  <br>谜底：<font color="#FFFFFF">独山  </font>\n
孤星残月映空庭（字）	孤星残月映空庭（字）<br>谜底：<font color="#FFFFFF">庐</font>\n
孤星一点浮丘高（字）	孤星一点浮丘高（字）<br>谜底：<font color="#FFFFFF">乓</font>\n
鼓掌（字）	鼓掌（字）<br>谜底：<font color="#FFFFFF">拿</font>\n
古都童话（文学体裁）	古都童话（文学体裁）<br>谜底：<font color="#FFFFFF">旧京小话</font>\n
  古怪老汉,肩上挑担,为人正直,偏心不干	  古怪老汉,肩上挑担,为人正直,偏心不干<br>谜底：<font color="#FFFFFF">是天平! </font>\n
古籍书店（三字俗语）	古籍书店（三字俗语）<br>谜底：<font color="#FFFFFF">老本行</font>\n
古扣东川，控其咽喉（字）	古扣东川，控其咽喉（字）<br>谜底：<font color="#FFFFFF">挹</font>\n
古梅半放小桥南 （字） 	古梅半放小桥南 （字） <br>谜底：<font color="#FFFFFF">常</font>\n
古树逢春先历雨（二字日常行为用语）	古树逢春先历雨（二字日常行为用语）<br>谜底：<font color="#FFFFFF">下厨</font>\n
古往今来。  	古往今来。  <br>谜底：<font color="#FFFFFF">史进</font>\n
古音（成语）	古音（成语）<br>谜底：<font color="#FFFFFF">出口成章</font>\n
 故宫 	 故宫 <br>谜底：<font color="#FFFFFF">名古屋! </font>\n
故宫。（打一亚洲国家地名） 	故宫。（打一亚洲国家地名） <br>谜底：<font color="#FFFFFF">名古屋 </font>\n
故乡(中草药名)	故乡(中草药名)<br>谜底：<font color="#FFFFFF">熟地  </font>\n
故作谈笑（字）	故作谈笑（字）<br>谜底：<font color="#FFFFFF">说</font>\n
刮西风，刮北风， 屋檐下面栽大葱， "格崩格崩"赛脆梨。（打一自然物） 	刮西风，刮北风， 屋檐下面栽大葱， "格崩格崩"赛脆梨。（打一自然物） <br>谜底：<font color="#FFFFFF">冰凌柱</font>\n
瓜熟蒂落（字）	瓜熟蒂落（字）<br>谜底：<font color="#FFFFFF">爪</font>\n
挂满梧桐树梢 （字） 	挂满梧桐树梢 （字） <br>谜底：<font color="#FFFFFF">木</font>\n
乖（成语）	乖（成语）<br>谜底：<font color="#FFFFFF">乘人不备</font>\n
关公走麦城（字）	关公走麦城（字）<br>谜底：<font color="#FFFFFF">翠</font>\n
关口（成语）	关口（成语）<br>谜底：<font color="#FFFFFF">一窍不通</font>\n
关西已改旧模样 （字 ）	关西已改旧模样 （字 ）<br>谜底：<font color="#FFFFFF">奠</font>\n
关羽赴宴。 （成语）	关羽赴宴。 （成语）<br>谜底：<font color="#FFFFFF">单刀直入 </font>\n
官腔（成语）	官腔（成语）<br>谜底：<font color="#FFFFFF">头头是道</font>\n
官清似水蔚然成。 （打一京剧名）  	官清似水蔚然成。 （打一京剧名）  <br>谜底：<font color="#FFFFFF">廉吏风  </font>\n
冠军亚军。 （成语）	冠军亚军。 （成语）<br>谜底：<font color="#FFFFFF">数一数二 </font>\n
观看河景。（打安徽一地名）  	观看河景。（打安徽一地名）  <br>谜底：<font color="#FFFFFF">望江  </font>\n
观摩象棋国手赛 （名人带称谓 ）	观摩象棋国手赛 （名人带称谓 ）<br>谜底：<font color="#FFFFFF">张学良将军</font>\n
观音图（三字影片名）	观音图（三字影片名）<br>谜底：<font color="#FFFFFF">花中仙</font>\n
管乐四重奏（字）	管乐四重奏（字）<br>谜底：<font color="#FFFFFF">欲</font>\n
光武中兴（成语）	光武中兴（成语）<br>谜底：<font color="#FFFFFF">后起之</font>\n
广东人唱二人转（四字俗语）	广东人唱二人转（四字俗语）<br>谜底：<font color="#FFFFFF">南腔北调</font>\n
广搜长生不老药。 （打外国画家名一）  	广搜长生不老药。 （打外国画家名一）  <br>谜底：<font color="#FFFFFF">罗丹</font>\n
归来记所历（古代典籍）	归来记所历（古代典籍）<br>谜底：<font color="#FFFFFF">书经</font>\n
归去来辞（字）	归去来辞（字）<br>谜底：<font color="#FFFFFF">扳</font>\n
归途。（打一物理名词）  	归途。（打一物理名词）  <br>谜底：<font color="#FFFFFF">回路  </font>\n
闺阁（三字影片名）	闺阁（三字影片名）<br>谜底：<font color="#FFFFFF">女儿楼</font>\n
桂花遍野。（打北京一地名）  	桂花遍野。（打北京一地名）  <br>谜底：<font color="#FFFFFF">木樨地  </font>\n
桂花遍野。（打北京一地名）	桂花遍野。（打北京一地名）<br>谜底：<font color="#FFFFFF">木樨地</font>\n
桂林马蹄（地名）	桂林马蹄（地名）<br>谜底：<font color="#FFFFFF">薄圻</font>\n
